station,distance_m,x_utm15N_NAD83_m,y_utm15N_NAD83_m,elevation_m,longitude_WGS84,latitude_WGS84
ERT_000,0.000,617725.518,4613570.837,212.250,-91.5858996526,41.6652008298
ERT_001,1.500,617725.815,4613572.305,212.295,-91.5858957968,41.6652140045
ERT_002,3.000,617726.112,4613573.774,212.339,-91.5858919409,41.6652271881
ERT_003,4.500,617726.410,4613575.241,212.384,-91.5858880733,41.6652403536
ERT_004,6.000,617726.708,4613576.710,212.429,-91.5858842053,41.6652535371
ERT_005,7.500,617727.005,4613578.178,212.474,-91.5858803496,41.6652667117
ERT_006,9.000,617727.302,4613579.647,212.518,-91.5858764936,41.6652798954
ERT_007,10.500,617727.600,4613581.115,212.563,-91.5858726258,41.6652930699
ERT_008,12.000,617727.898,4613582.583,212.608,-91.5858687580,41.6653062444
ERT_009,13.500,617728.195,4613584.052,212.652,-91.5858649020,41.6653194280
ERT_010,15.000,617728.493,4613585.520,212.697,-91.5858610343,41.6653326025
ERT_011,16.500,617728.790,4613586.988,212.742,-91.5858571785,41.6653457772
ERT_012,18.000,617729.087,4613588.456,212.786,-91.5858533227,41.6653589518
ERT_013,19.500,617729.386,4613589.925,212.831,-91.5858494427,41.6653721352
ERT_014,21.000,617729.683,4613591.394,212.876,-91.5858455867,41.6653853188
ERT_015,22.500,617729.980,4613592.862,212.921,-91.5858417309,41.6653984934
ERT_016,24.000,617730.278,4613594.330,212.965,-91.5858378631,41.6654116679
ERT_017,25.500,617730.575,4613595.798,213.010,-91.5858340074,41.6654248426
ERT_018,27.000,617730.873,4613597.267,213.055,-91.5858301394,41.6654380261
ERT_019,28.500,617731.170,4613598.736,213.099,-91.5858262834,41.6654512097
ERT_020,30.000,617731.468,4613600.203,213.144,-91.5858224158,41.6654643752
ERT_021,31.500,617731.765,4613601.672,213.189,-91.5858185598,41.6654775588
ERT_022,33.000,617732.063,4613603.140,213.234,-91.5858146920,41.6654907333
ERT_023,34.500,617732.361,4613604.609,213.278,-91.5858108240,41.6655039168
ERT_024,36.000,617732.658,4613606.076,213.323,-91.5858069684,41.6655170825
ERT_025,37.500,617732.955,4613607.545,213.368,-91.5858031124,41.6655302661
ERT_026,39.000,617733.253,4613609.014,213.412,-91.5857992443,41.6655434496
ERT_027,40.500,617733.550,4613610.482,213.457,-91.5857953885,41.6655566243
ERT_028,42.000,617733.848,4613611.951,213.502,-91.5857915205,41.6655698077
ERT_029,43.500,617734.146,4613613.418,213.546,-91.5857876529,41.6655829732
ERT_030,45.000,617734.443,4613614.887,213.591,-91.5857837969,41.6655961569
ERT_031,46.500,617734.740,4613616.355,213.636,-91.5857799411,41.6656093315
ERT_032,48.000,617735.038,4613617.824,213.681,-91.5857760731,41.6656225150
ERT_033,49.500,617735.336,4613619.292,213.725,-91.5857722052,41.6656356895
ERT_034,51.000,617735.633,4613620.760,213.770,-91.5857683494,41.6656488641
ERT_035,52.500,617735.930,4613622.229,213.815,-91.5857644934,41.6656620478
ERT_036,54.000,617736.228,4613623.697,213.859,-91.5857606256,41.6656752223
ERT_037,55.500,617736.525,4613625.165,213.904,-91.5857567698,41.6656883969
ERT_038,57.000,617736.823,4613626.633,213.949,-91.5857529019,41.6657015714
ERT_039,58.500,617737.121,4613628.102,213.994,-91.5857490339,41.6657147549
ERT_040,60.000,617737.418,4613629.571,214.038,-91.5857451779,41.6657279385
ERT_041,61.500,617737.715,4613631.039,214.083,-91.5857413220,41.6657411132
ERT_042,63.000,617738.014,4613632.507,214.128,-91.5857374422,41.6657542875
ERT_043,64.500,617738.311,4613633.975,214.172,-91.5857335864,41.6657674621
ERT_044,66.000,617738.608,4613635.444,214.217,-91.5857297303,41.6657806458
ERT_045,67.500,617738.906,4613636.913,214.262,-91.5857258623,41.6657938293
ERT_046,69.000,617739.203,4613638.380,214.306,-91.5857220066,41.6658069949
ERT_047,70.500,617739.501,4613639.849,214.351,-91.5857181386,41.6658201784
